PM2.5,Internet_users,Broadcast,Mobile_subscriptions,Share
69.47957041,523744941,13.5721864,62.75543093,34.3
70.54202883,581710631,14.32580171,71.6494509,38.3
63.82701684,633319291,19.69267651,80.34603793,42.30011749
65.51455022,665862876,22.81370164,88.30574902,45.8
59.76736751,702705362,27.73989833,91.89962887,47.9
59.06342246,746662194,28.53518942,91.835388,50.3
52.21132204,765367947,31.33520101,96.52661691,53.2
