PM2.5,Internet_users,Broadband,Mobile_subscriptions,Share
68.71140482,1586353,0.000351113,78.22078802,5.0
66.36260979,2327137,0.000190236,83.05533225,7.1
66.84207687,3117249,0.000417628,83.90088044,9.2
63.80269591,4624303,0.010480138,97.86757266,13.21
56.56703027,6219115,11.42900974,95.89691674,58.0
66.26503791,7898106,11.68854336,94.34036257,21.23
63.95479607,18892351,11.59775672,91.35870695,49.35999889
