PM2.5,Internet_users,Broadband,Mobile_subscriptions,Share
70.76499566,5629517,0.998501467,46.02655537,3.7
70.2105489,6926036,2.001827212,56.51967967,4.5
70.79390882,7786353,3.131355825,64.35516997,5.0
65.64508289,10446977,4.173005954,76.29745621,6.63
68.3953774,22157334,4.571801118,82.10473758,13.9
66.96574924,23212928,4.990118524,84.07708629,14.4
60.12627467,29733670,4.95902507,86.07690632,18.02
