,PM2.5,Internet_users,Broadcast,Mobile_subscriptions,Share
2010,95.75817945,92323552,1.165457452,60.94154381,10.07
2011,97.59937863,125596668,1.215652255,71.49252962,12.58006091
2012,88.1694406,158894454,1.293189247,68.31524817,15.1
2013,91.80479161,193062893,1.408310236,69.19699374,21.0
2014,89.62238269,271710452,1.333856253,72.86262075,17.0
2015,89.3033343,340354035,1.343296766,76.40759943,22.0
2016,89.67217693,391255067,1.401954779,85.14868348,32.0
